Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp7_font12,17660,Pro,16,exp,4,4,same,1000,650,400,P,P,TRUE,162.44299999997,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,17,exp,3,3,same,1400,300,50,R,R,TRUE,930.231000000029,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,18,exp,2,2,same,600,300,50,B,B,TRUE,380.351000000024,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,19,exp,2,2,same,1400,300,50,P,P,TRUE,314.481000000029,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,20,exp,3,3,same,600,300,50,P,P,TRUE,263.243000000017,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,21,exp,2,2,same,1800,650,400,B,B,TRUE,349.064999999944,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,22,exp,1,1,same,1800,300,50,B,B,TRUE,431.542999999947,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,23,exp,2,2,same,600,650,400,B,B,TRUE,390.657000000007,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,24,exp,2,2,same,200,300,50,B,B,TRUE,356.738999999943,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,25,exp,1,1,same,600,650,400,R,R,TRUE,653.182999999961,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,26,exp,2,2,same,1400,650,400,P,P,TRUE,415.670999999973,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,27,exp,4,4,same,1000,650,400,B,B,TRUE,297.466999999946,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,28,exp,2,2,same,1800,300,50,R,R,TRUE,475.94299999997,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,29,exp,1,1,same,1800,650,400,P,P,TRUE,240.773000000045,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,30,exp,4,4,same,1800,650,400,B,B,TRUE,343.927000000025,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,31,exp,4,4,same,1400,650,400,B,B,TRUE,321.069000000018,5fb079128b511d47995da086,1920,1080,1
