ID,Block,trial,cueLoc,stimLoc,locDist,FixDur,CTI,stim,response,correct,RTms,prolific_id
17321,Central,22,5,1,NA,1800,400,R,P,FALSE,173.302999928477,611e283064ad72ef8c6f48cd
17321,Central,23,5,3,NA,200,50,R,P,FALSE,1489.41899992852,611e283064ad72ef8c6f48cd
17321,Central,24,5,3,NA,1800,50,R,B,FALSE,320.814999999944,611e283064ad72ef8c6f48cd
17321,Central,25,5,2,NA,1000,200,P,B,FALSE,156.060999999987,611e283064ad72ef8c6f48cd
17321,Central,26,5,3,NA,1400,200,P,R,FALSE,194.002999928431,611e283064ad72ef8c6f48cd
17321,Central,27,5,4,NA,1400,200,R,P,FALSE,159.642999928445,611e283064ad72ef8c6f48cd
17321,Central,28,5,4,NA,600,200,R,B,FALSE,442.614999976126,611e283064ad72ef8c6f48cd
17321,Central,29,5,1,NA,600,200,B,B,TRUE,234.822999928496,611e283064ad72ef8c6f48cd
17321,Central,30,5,1,NA,200,200,B,P,FALSE,680.019999928423,611e283064ad72ef8c6f48cd
17321,Central,31,5,2,NA,200,50,B,R,FALSE,398.991999952355,611e283064ad72ef8c6f48cd
17321,Central,32,5,3,NA,1000,50,P,P,TRUE,277.143999952357,611e283064ad72ef8c6f48cd
17321,Central,33,5,2,NA,600,200,B,B,TRUE,332.699999976205,611e283064ad72ef8c6f48cd
17321,Central,34,5,1,NA,1000,50,R,R,TRUE,314.644999976153,611e283064ad72ef8c6f48cd
17321,Central,35,5,4,NA,600,200,B,R,FALSE,213.12199995236,611e283064ad72ef8c6f48cd
17321,Central,36,5,3,NA,1400,50,P,P,TRUE,357.573999976157,611e283064ad72ef8c6f48cd
17321,Central,37,5,3,NA,1000,400,P,B,FALSE,136.177999952342,611e283064ad72ef8c6f48cd
17321,Central,38,5,4,NA,1000,200,P,B,FALSE,193.062000000034,611e283064ad72ef8c6f48cd
17321,Central,39,5,2,NA,200,400,P,B,FALSE,306.867999976152,611e283064ad72ef8c6f48cd
17321,Central,40,5,4,NA,1000,200,R,B,FALSE,709.03399997612,611e283064ad72ef8c6f48cd
17321,Central,41,5,2,NA,600,50,P,B,FALSE,145.133999952348,611e283064ad72ef8c6f48cd
17321,Central,42,5,4,NA,1000,50,P,B,FALSE,344.799999928451,611e283064ad72ef8c6f48cd
17321,Central,43,5,1,NA,1800,200,B,B,TRUE,135.958999904688,611e283064ad72ef8c6f48cd
17321,Central,44,5,4,NA,200,200,R,R,TRUE,153.940999928513,611e283064ad72ef8c6f48cd
17321,Central,45,5,4,NA,200,400,R,B,FALSE,118.118999999948,611e283064ad72ef8c6f48cd
17321,Central,46,5,3,NA,600,400,P,B,FALSE,212.870999904582,611e283064ad72ef8c6f48cd
17321,Central,47,5,1,NA,200,50,R,P,FALSE,656.222999976133,611e283064ad72ef8c6f48cd
17321,Central,48,5,4,NA,1400,50,P,R,FALSE,250.793999928515,611e283064ad72ef8c6f48cd
17321,Central,49,5,1,NA,200,400,R,B,FALSE,176.216000000015,611e283064ad72ef8c6f48cd
17321,Central,50,5,4,NA,1800,50,B,B,TRUE,261.916999976151,611e283064ad72ef8c6f48cd
17321,Central,51,5,1,NA,200,50,B,P,FALSE,812.97399992845,611e283064ad72ef8c6f48cd
17321,Central,52,5,1,NA,1400,50,R,P,FALSE,416.287999976194,611e283064ad72ef8c6f48cd
17321,Central,53,5,2,NA,600,50,R,P,FALSE,405.846999952337,611e283064ad72ef8c6f48cd
17321,Central,54,5,2,NA,1400,200,R,B,FALSE,308.763999904739,611e283064ad72ef8c6f48cd
17321,Central,55,5,4,NA,1000,400,B,R,FALSE,283.027999928454,611e283064ad72ef8c6f48cd
17321,Central,56,5,1,NA,1800,400,B,B,TRUE,245.573999928543,611e283064ad72ef8c6f48cd
17321,Central,57,5,3,NA,200,400,P,B,FALSE,738.039000000106,611e283064ad72ef8c6f48cd
